"Name","TID","Disabled","ExistsApple","ExistsAndroid","ExistsAmazon","Diamonds","USD","IconSWF","IconExportName","ShopItemExportName","OfferItemExportName","Order","RED","RMB","KunlunOnly","LenovoID","TencentID","HuaweiID","KunlunID","isOfferPackage","OfferedByCalendar","GiftCard","SCIDStore","PassClaimToken"
"String","String","boolean","boolean","boolean","boolean","int","int","String","String","String","String","int","boolean","int","boolean","int","String","int","int","boolean","boolean","boolean","boolean","boolean"
"com.supercell.magic.package1","TID_DIAMOND_PACK_1","TRUE","FALSE","FALSE","FALSE",500,0,"sc/shop.sc","icon_gem_small","shop_item_diamond_pack_normal","special_offer_item_gem_1",2,,,,,,,,,,,,
"com.supercell.magic.package2","TID_DIAMOND_PACK_2","TRUE","FALSE","FALSE","FALSE",1200,0,"sc/shop.sc","icon_gem_normal","shop_item_diamond_pack_normal","special_offer_item_gem_2",3,,,,,,,,,,,,
"com.supercell.magic.package3","TID_DIAMOND_PACK_3","TRUE","FALSE","FALSE","FALSE",2500,0,"sc/shop.sc","icon_gem_medium","shop_item_diamond_pack_medium","special_offer_item_gem_3",4,,,,,,,,,,,,
"com.supercell.magic.package4","TID_DIAMOND_PACK_4","TRUE","FALSE","FALSE","FALSE",6500,0,"sc/shop.sc","icon_gem_large","shop_item_diamond_pack_large","special_offer_item_gem_4",5,,,,,,,,,,,,
"com.supercell.magic.package5","TID_DIAMOND_PACK_5","TRUE","FALSE","FALSE","FALSE",14000,0,"sc/shop.sc","icon_gem_huge","shop_item_diamond_pack_large","special_offer_item_gem_5",6,,,,,,,,,,,,
"com.supercell.magic.package0","TID_DIAMOND_PACK_RED","TRUE","FALSE","FALSE","FALSE",500,0,"sc/shop.sc","icon_gem_red","shop_item_diamond_pack_red","special_offer_item_gem_1",0,,,,,,,,,,,,
"com.supercell.magic.package7","TID_DIAMOND_PACK_6","TRUE","FALSE","FALSE","FALSE",80,0,"sc/shop.sc","icon_gem_tiny","shop_item_diamond_pack_normal","special_offer_item_gem_0",1,,,,,,,,,,,,
"com.supercell.magic.th1",,"TRUE","FALSE","FALSE","FALSE",0,0,"sc/shop.sc","icon_gem_small","shop_item_diamond_pack_normal","special_offer_item_gem_1",2,,,,,,,,,,,,
"com.supercell.magic.th2",,"TRUE","FALSE","FALSE","FALSE",0,0,"sc/shop.sc","icon_gem_normal","shop_item_diamond_pack_normal","special_offer_item_gem_2",3,,,,,,,,,,,,
"com.supercell.magic.th3",,"TRUE","FALSE","FALSE","FALSE",0,0,"sc/shop.sc","icon_gem_medium","shop_item_diamond_pack_medium","special_offer_item_gem_3",4,,,,,,,,,,,,
"com.supercell.magic.th7",,"TRUE","FALSE","FALSE","FALSE",0,0,"sc/shop.sc","icon_gem_tiny","shop_item_diamond_pack_normal","special_offer_item_gem_0",1,,,,,,,,,,,,
"com.supercell.magic.builder1",,"TRUE","FALSE","FALSE","FALSE",0,0,"sc/shop.sc","icon_gem_small","shop_item_diamond_pack_normal","special_offer_item_gem_1",2,,,,,,,,,,,,
"com.supercell.magic.builder2",,"TRUE","FALSE","FALSE","FALSE",0,0,"sc/shop.sc","icon_gem_normal","shop_item_diamond_pack_normal","special_offer_item_gem_2",3,,,,,,,,,,,,
"com.supercell.magic.builder3",,"TRUE","FALSE","FALSE","FALSE",0,0,"sc/shop.sc","icon_gem_medium","shop_item_diamond_pack_medium","special_offer_item_gem_3",4,,,,,,,,,,,,
"com.supercell.magic.update1",,"TRUE","FALSE","FALSE","FALSE",0,0,"sc/shop.sc","icon_gem_small","shop_item_diamond_pack_normal","special_offer_item_gem_1",2,,,,,,,,,,,,
"com.supercell.magic.update2",,"TRUE","FALSE","FALSE","FALSE",0,0,"sc/shop.sc","icon_gem_normal","shop_item_diamond_pack_normal","special_offer_item_gem_2",3,,,,,,,,,,,,
"com.supercell.magic.update3",,"TRUE","FALSE","FALSE","FALSE",0,0,"sc/shop.sc","icon_gem_medium","shop_item_diamond_pack_medium","special_offer_item_gem_3",4,,,,,,,,,,,,
"com.supercell.magic.resource7",,"TRUE","FALSE","FALSE","FALSE",0,0,"sc/shop.sc","icon_gem_tiny","shop_item_diamond_pack_normal","special_offer_item_gem_0",1,,,,,,,,,,,,
"com.supercell.magic.resource1",,"TRUE","FALSE","FALSE","FALSE",0,0,"sc/shop.sc","icon_gem_small","shop_item_diamond_pack_normal","special_offer_item_gem_1",2,,,,,,,,,,,,
"com.supercell.magic.resource2",,"TRUE","FALSE","FALSE","FALSE",0,0,"sc/shop.sc","icon_gem_normal","shop_item_diamond_pack_normal","special_offer_item_gem_2",3,,,,,,,,,,,,
"com.supercell.magic.resource3",,"TRUE","FALSE","FALSE","FALSE",0,0,"sc/shop.sc","icon_gem_medium","shop_item_diamond_pack_medium","special_offer_item_gem_3",4,,,,,,,,,,,,
"com.supercell.magic.resource4",,"TRUE","FALSE","FALSE","FALSE",0,0,"sc/shop.sc","icon_gem_large","shop_item_diamond_pack_large","special_offer_item_gem_4",5,,,,,,,,,,,,
"com.supercell.magic.resource5",,"TRUE","FALSE","FALSE","FALSE",0,0,"sc/shop.sc","icon_gem_huge","shop_item_diamond_pack_large","special_offer_item_gem_5",6,,,,,,,,,,,,
"com.supercell.magic.gift1",,"TRUE","FALSE","FALSE","FALSE",0,0,"sc/shop.sc","icon_gem_small","shop_item_diamond_pack_normal","special_offer_item_gem_1",2,,,,,,,,,,,,
"com.supercell.magic.gift2",,"TRUE","FALSE","FALSE","FALSE",0,0,"sc/shop.sc","icon_gem_normal","shop_item_diamond_pack_normal","special_offer_item_gem_2",3,,,,,,,,,,,,
"com.supercell.magic.gift3",,"TRUE","FALSE","FALSE","FALSE",0,0,"sc/shop.sc","icon_gem_medium","shop_item_diamond_pack_medium","special_offer_item_gem_3",4,,,,,,,,,,,,
"com.supercell.magic.gift4",,"TRUE","FALSE","FALSE","FALSE",0,0,"sc/shop.sc","icon_gem_large","shop_item_diamond_pack_large","special_offer_item_gem_4",5,,,,,,,,,,,,
"com.supercell.magic.gift5",,"TRUE","FALSE","FALSE","FALSE",0,0,"sc/shop.sc","icon_gem_huge","shop_item_diamond_pack_large","special_offer_item_gem_5",6,,,,,,,,,,,,
"com.supercell.magic.holiday7",,"TRUE","FALSE","FALSE","FALSE",0,0,"sc/shop.sc","icon_gem_tiny","shop_item_diamond_pack_normal","special_offer_item_gem_0",1,,,,,,,,,,,,
